sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-410m,J,7,1,0.00021315942285582423,12.195779547532181, hours,405334016
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-410m,S,7,1,0.009427777491509914,6.728866575255522, votes,405334016
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-410m,S,11,1,0.00023071646864991635,12.081591391603233, candle,405334016
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-410m,J,12,2,2.8625909180846065e-06,18.41424705428515, shin,405334016
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-410m,E,11,1,0.22379493713378906,2.1597506959930506, carrots,405334016
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-410m,J,13,3,4.225741940899752e-05,14.530435807483846, gunpowder,405334016
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-410m,S,11,1,0.001227611443027854,9.669930285779431, heroin,405334016
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-410m,J,15,2,2.3021348170004785e-05,15.406668151773452, widower,405334016
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-410m,S,14,1,0.028448456898331642,5.135505789808804, zombie,405334016
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-410m,J,9,1,0.001811424852348864,9.108659328383677, buys,405334016
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-410m,S,10,2,0.006375607568770647,7.293221453328089, quits,405334016
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-410m,S,10,1,0.010337845422327518,6.595920654259361, ball,405334016
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-410m,J,10,1,6.319913518382236e-05,13.949735657720307, girl,405334016
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-410m,J,15,1,0.0020722406916320324,8.914592702266562, fishing,405334016
A thoughtful wife has pork chops ready when her husband comes home from working.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-410m,S,15,1,0.002715259324759245,8.524694293380948, working,405334016
A vacation is the shortest distance between two locations.,A vacation is the shortest distance between two,EleutherAI/pythia-410m,S,9,1,0.029722023755311966,5.072323838287473, locations,405334016
A vacation is the shortest distance between two paychecks.,A vacation is the shortest distance between two,EleutherAI/pythia-410m,J,10,2,6.206529405972105e-07,20.61970990276297, paychecks,405334016
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.","After Olga tore her red dress, she went to the store for a needle and a spool of red",EleutherAI/pythia-410m,E,23,1,0.49729496240615845,1.0078262781614555, thread,405334016
"All roads lead to Rome, and all detours lead to profanity.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-410m,J,14,2,1.329235374214477e-06,19.52097197701614, profanity,405334016
"All roads lead to Rome, and all detours lead to somewhere.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-410m,S,13,1,0.000617181183770299,10.66201830094456, somewhere,405334016
All the plates were garnished with little sprigs of parsley.,All the plates were garnished with little sprigs of,EleutherAI/pythia-410m,E,12,1,0.33609503507614136,1.5730588641246233, parsley,405334016
