sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-1.4b,J,7,1,0.0002694862487260252,11.857500722159527, hours,1414647808
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-1.4b,S,7,1,0.014934618026018143,6.0651958506206, votes,1414647808
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-1.4b,S,11,1,0.0009338275995105505,10.064556151122929, candle,1414647808
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-1.4b,J,12,2,5.922743639530381e-06,17.365302927557696, shin,1414647808
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-1.4b,E,11,1,0.444719135761261,1.1690336113269812, carrots,1414647808
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-1.4b,J,13,3,4.278363849152811e-05,14.512581294166914, gunpowder,1414647808
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-1.4b,S,11,1,0.0008613438112661242,10.181123165386545, heroin,1414647808
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-1.4b,J,15,2,1.92114803212462e-05,15.667671785738502, widower,1414647808
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-1.4b,S,14,1,0.21659624576568604,2.2069198577682974, zombie,1414647808
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-1.4b,J,9,1,0.0008373970631510019,10.221800521161843, buys,1414647808
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-1.4b,S,10,2,0.021261796355247498,5.5555926981114645, quits,1414647808
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-1.4b,S,10,1,0.001775324228219688,9.137701755972524, ball,1414647808
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-1.4b,J,10,1,0.001637296169064939,9.254468971406146, girl,1414647808
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-1.4b,J,15,1,0.0033162489999085665,8.236231949286042, fishing,1414647808
A thoughtful wife has pork chops ready when her husband comes home from working.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-1.4b,S,15,1,0.0037798024713993073,8.047473442009055, working,1414647808
A vacation is the shortest distance between two locations.,A vacation is the shortest distance between two,EleutherAI/pythia-1.4b,S,9,1,0.0057752905413508415,7.435890757696628, locations,1414647808
A vacation is the shortest distance between two paychecks.,A vacation is the shortest distance between two,EleutherAI/pythia-1.4b,J,10,2,4.539207111520227e-06,17.749128253344832, paychecks,1414647808
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.","After Olga tore her red dress, she went to the store for a needle and a spool of red",EleutherAI/pythia-1.4b,E,23,1,0.6456535458564758,0.6311678645705915, thread,1414647808
