sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-14m,J,7,1,0.016935531049966812,5.883802963430318, hours,14067712
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-14m,S,7,1,4.972971510142088e-05,14.295532308386518, votes,14067712
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-14m,S,11,1,0.00011538898979779333,13.081206808269059, candle,14067712
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-14m,J,12,2,1.3545502497436246e-06,19.493754655141025, shin,14067712
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-14m,E,11,1,0.00020042317919433117,12.28466301186004, carrots,14067712
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-14m,J,13,3,3.415877245060983e-06,18.15931243895707, gunpowder,14067712
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-14m,S,11,1,2.9443684979924e-05,15.051682233423293, heroin,14067712
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-14m,J,15,2,1.1038466254831292e-05,16.467100744373806, widower,14067712
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-14m,S,14,1,0.0001799493475118652,12.440121508423807, zombie,14067712
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-14m,J,9,1,0.0007590499008074403,10.363517646371195, buys,14067712
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-14m,S,10,2,2.85885039374989e-06,18.416133444927908, quits,14067712
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-14m,S,10,1,0.0005368870915845037,10.863093661056096, ball,14067712
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-14m,J,10,1,0.0006729142623953521,10.537289680206772, girl,14067712
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-14m,J,15,1,2.7597177904681303e-05,15.145119730298822, fishing,14067712
A thoughtful wife has pork chops ready when her husband comes home from working.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-14m,S,15,1,0.0001416636659996584,12.785242597325631, working,14067712
