sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-160m,J,7,1,0.001902338583022356,9.038010241105589, hours,162322944
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-160m,S,7,1,0.0004889785777777433,10.997941117666004, votes,162322944
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-160m,S,11,1,4.043305671075359e-05,14.5941051999702, candle,162322944
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-160m,J,12,2,1.3479472045219154e-06,19.50080457819464, shin,162322944
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-160m,E,11,1,0.10885639488697052,3.199501932186946, carrots,162322944
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-160m,J,13,3,3.878073039231822e-05,14.654300499165073, gunpowder,162322944
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-160m,S,11,1,0.0006628289702348411,10.559075719807293, heroin,162322944
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-160m,J,15,2,8.155003342835698e-06,16.903883101008535, widower,162322944
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-160m,S,14,1,0.006936068180948496,7.171666204465542, zombie,162322944
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-160m,J,9,1,0.003197777085006237,8.288714911686553, buys,162322944
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-160m,S,10,2,0.000502813549246639,10.957688853165013, quits,162322944
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-160m,S,10,1,0.004662774968892336,7.7445954794957474, ball,162322944
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-160m,J,10,1,0.0003279783413745463,11.574111832459842, girl,162322944
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-160m,J,15,1,0.0008688733796589077,10.168566430183011, fishing,162322944
A thoughtful wife has pork chops ready when her husband comes home from working.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-160m,S,15,1,0.0064076269045472145,7.285994137950087, working,162322944
A vacation is the shortest distance between two locations.,A vacation is the shortest distance between two,EleutherAI/pythia-160m,S,9,1,0.046465273946523666,4.4277032761644985, locations,162322944
A vacation is the shortest distance between two paychecks.,A vacation is the shortest distance between two,EleutherAI/pythia-160m,J,10,2,4.168213934008236e-07,21.194067338223693, paychecks,162322944
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.","After Olga tore her red dress, she went to the store for a needle and a spool of red",EleutherAI/pythia-160m,E,23,1,0.026115482673048973,5.258950821558369, thread,162322944
"All roads lead to Rome, and all detours lead to profanity.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-160m,J,14,2,7.129756340873428e-08,23.741571985630323, profanity,162322944
"All roads lead to Rome, and all detours lead to somewhere.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-160m,S,13,1,6.632592703681439e-05,13.88006753930786, somewhere,162322944
All the plates were garnished with little sprigs of parsley.,All the plates were garnished with little sprigs of,EleutherAI/pythia-160m,E,12,1,0.04765518382191658,4.391223034036137, parsley,162322944
Another thing a small boy is constantly outgrowing is his allowance.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-160m,J,12,1,5.520564809557982e-05,14.144824597603053, allowance,162322944
Another thing a small boy is constantly outgrowing is his underwear.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-160m,S,12,1,9.15033306227997e-05,13.415816217536904, underwear,162322944
Another thing that has developed by leaps and bounds is the modern dance.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-160m,J,14,1,8.717488526599482e-05,13.485727914216469, dance,162322944
Another thing that has developed by leaps and bounds is the modern science.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-160m,S,14,1,0.00196277117356658,8.992892296271458, science,162322944
Arguments between couples are healthy; sometimes they even prevent breakups.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-160m,S,12,2,6.505456894956296e-06,17.22991818464246, breakups,162322944
Arguments between couples are healthy; sometimes they even prevent marriage.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-160m,J,11,1,0.006536589469760656,7.2572461930460515, marriage,162322944
Autobiography is an unrivaled vehicle for telling the truth about others.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-160m,J,15,1,0.0014165665488690138,9.463385904994754, others,162322944
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-160m,S,15,1,0.00019956757023464888,12.290835078026737, somebody,162322944
Autumn is a good time to buy some new clothes.,Autumn is a good time to buy some new,EleutherAI/pythia-160m,E,11,1,0.053206779062747955,4.2322461189140395, clothes,162322944
"Because of his diabetes, he had to take daily shots of insulin.","Because of his diabetes, he had to take daily shots of",EleutherAI/pythia-160m,E,13,1,0.00915689766407013,6.770925385330939, insulin,162322944
"Before the outdoor concert, he packed a basket with wine and food for a picnic.","Before the outdoor concert, he packed a basket with wine and food for a",EleutherAI/pythia-160m,E,16,1,0.033853743225336075,4.884540827641822, picnic,162322944
Bill jumped in the lake and made a big splash.,Bill jumped in the lake and made a big,EleutherAI/pythia-160m,E,10,1,0.325277179479599,1.620258484332725, splash,162322944
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-160m,J,20,1,0.00663686404004693,7.235282564561103, husband,162322944
"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-160m,S,20,1,0.0003845474566332996,11.344550728762304, offspring,162322944
"Charged with statutory rape, he told the judge he didn't know she was a statue.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-160m,J,19,1,1.2594907275342848e-05,16.276799973555246, statue,162322944
"Charged with statutory rape, he told the judge he didn't know she was a teenager.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-160m,S,19,1,0.004262076690793037,7.874227731796899, teenager,162322944
Cocktail lounges are usually half lit to match the patrons.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-160m,J,14,1,0.0001083588576875627,13.17189528961943, patrons,162322944
Cocktail lounges are usually half lit to match the setting.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-160m,S,14,1,0.0009647904080338776,10.017496815543984, setting,162322944
"Congress taxes our income, our property, and our patience.","Congress taxes our income, our property, and our",EleutherAI/pythia-160m,J,11,1,1.8430800992064178e-05,15.72752170340482, patience,162322944
"Congress taxes our income, our property, and our purchases.","Congress taxes our income, our property, and our",EleutherAI/pythia-160m,S,11,1,5.0406833906890824e-05,14.276021134060478, purchases,162322944
"Diamonds are produced by great pressure, usually provided by a girlfriend.","Diamonds are produced by great pressure, usually provided by a",EleutherAI/pythia-160m,J,14,1,1.7286077991229831e-06,19.14195799383451, girlfriend,162322944
