sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-2.8b,J,7,1,0.000351748603861779,11.473167682329816, hours,2775208960
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-2.8b,S,7,1,0.012121077626943588,6.366338222157301, votes,2775208960
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-2.8b,S,11,1,0.0011663258774206042,9.743813343419971, candle,2775208960
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-2.8b,J,12,2,5.318589956004871e-06,17.520524754634064, shin,2775208960
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-2.8b,E,11,1,0.6820951700210571,0.5519550481035714, carrots,2775208960
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-2.8b,J,13,3,5.480634354171343e-05,14.155297587336495, gunpowder,2775208960
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-2.8b,S,11,1,0.0004706909821834415,11.052932166386006, heroin,2775208960
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-2.8b,J,15,2,0.00014794961316511035,12.722606455139998, widower,2775208960
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-2.8b,S,14,1,0.023233793675899506,5.427631449293522, zombie,2775208960
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-2.8b,J,9,1,0.0003309380554128438,11.561151179169512, buys,2775208960
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-2.8b,S,10,2,0.008797893300652504,6.828626180067033, quits,2775208960
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-2.8b,S,10,1,0.001859280513599515,9.071039835518869, ball,2775208960
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-2.8b,J,10,1,0.0007479713531211019,10.38472936278085, girl,2775208960
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-2.8b,J,15,1,0.0008821841911412776,10.146632472175808, fishing,2775208960
