sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-70m,J,7,1,0.003271405352279544,8.25587375315597, hours,70426624
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-70m,S,7,1,5.174713078304194e-05,14.23816160254626, votes,70426624
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-70m,S,11,1,0.00019012585107702762,12.360757673522839, candle,70426624
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-70m,J,12,2,3.9802858964321786e-07,21.26062460365583, shin,70426624
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-70m,E,11,1,0.01637072116136551,5.93273831310565, carrots,70426624
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-70m,J,13,3,2.6755767521535745e-06,18.511718654340005, gunpowder,70426624
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-70m,S,11,1,7.744368485873565e-05,13.65649287511784, heroin,70426624
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-70m,J,15,2,8.008116310520563e-06,16.93010564118016, widower,70426624
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-70m,S,14,1,0.0022618898656219244,8.788255600334047, zombie,70426624
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-70m,J,9,1,0.0027973928954452276,8.481701389266691, buys,70426624
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-70m,S,10,2,9.573571333021391e-06,16.672511360046272, quits,70426624
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-70m,S,10,1,0.0005163741880096495,10.919295493081703, ball,70426624
A replacement player hit a home run with my girl.,A replacement player hit a home run with my,EleutherAI/pythia-70m,J,10,1,0.00038448694976978004,11.344777748389495, girl,70426624
A thoughtful wife has pork chops ready when her husband comes home from fishing.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-70m,J,15,1,0.0001313036773353815,12.894805058145556, fishing,70426624
A thoughtful wife has pork chops ready when her husband comes home from working.,A thoughtful wife has pork chops ready when her husband comes home from,EleutherAI/pythia-70m,S,15,1,0.00027963751927018166,11.804154437886163, working,70426624
A vacation is the shortest distance between two locations.,A vacation is the shortest distance between two,EleutherAI/pythia-70m,S,9,1,0.025117546319961548,5.315160652492678, locations,70426624
A vacation is the shortest distance between two paychecks.,A vacation is the shortest distance between two,EleutherAI/pythia-70m,J,10,2,4.247849361149747e-08,24.488692153450152, paychecks,70426624
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.","After Olga tore her red dress, she went to the store for a needle and a spool of red",EleutherAI/pythia-70m,E,23,1,0.0016660975525155663,9.229311409522776, thread,70426624
