sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
A committee keeps minutes and takes hours.,A committee keeps minutes and takes,EleutherAI/pythia-1b,J,7,1,0.0018210813868790865,9.100988884685034, hours,1011781632
A committee keeps minutes and takes votes.,A committee keeps minutes and takes,EleutherAI/pythia-1b,S,7,1,0.04221031814813614,4.566260486539097, votes,1011781632
A device for finding furniture in the dark is a candle.,A device for finding furniture in the dark is a,EleutherAI/pythia-1b,S,11,1,0.0003546025836840272,11.461509331596679, candle,1011781632
A device for finding furniture in the dark is a shin.,A device for finding furniture in the dark is a,EleutherAI/pythia-1b,J,12,2,6.5225158323301e-06,17.226140028373223, shin,1011781632
A good source of vitamin A is orange vegetables like carrots.,A good source of vitamin A is orange vegetables like,EleutherAI/pythia-1b,E,11,1,0.41425788402557373,1.2713989402617305, carrots,1011781632
A good way to blow your mind is to smoke gunpowder.,A good way to blow your mind is to smoke,EleutherAI/pythia-1b,J,13,3,2.2503643393179118e-08,25.40526616300128, gunpowder,1011781632
A good way to blow your mind is to smoke heroin.,A good way to blow your mind is to smoke,EleutherAI/pythia-1b,S,11,1,0.00106025580316782,9.881371905308477, heroin,1011781632
A man who has lost ninety percent of his brain is called a widower.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-1b,J,15,2,4.1414368752157316e-05,14.559509075529446, widower,1011781632
A man who has lost ninety percent of his brain is called a zombie.,A man who has lost ninety percent of his brain is called a,EleutherAI/pythia-1b,S,14,1,0.01960969902575016,5.672288796895854, zombie,1011781632
A problem drinker is one who never buys.,A problem drinker is one who never,EleutherAI/pythia-1b,J,9,1,0.0008395063923671842,10.218171069037144, buys,1011781632
A problem drinker is one who never quits.,A problem drinker is one who never,EleutherAI/pythia-1b,S,10,2,0.014055789448320866,6.152691704310281, quits,1011781632
A replacement player hit a home run with my ball.,A replacement player hit a home run with my,EleutherAI/pythia-1b,S,10,1,0.004479187075048685,7.802547362471858, ball,1011781632
