sentence,answer,prompt,model,condition,n_tokens_sentence,n_tokens_word,correct,prob_yes,prob_no,lr,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes hours.

Sentence 2: Committees are very efficient.

Answer:",EleutherAI/pythia-14m,J,8,2,no,2.868626506824512e-05,5.23515154782217e-05,-0.8678711586341178,14067712
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes votes.

Sentence 2: Committees keep records and make decisions.

Answer:",EleutherAI/pythia-14m,S,8,2,yes,2.620781924633775e-05,5.8400666603120044e-05,-1.1559875246129996,14067712
A device for finding furniture in the dark is a candle.,The candle gives off light.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a candle.

Sentence 2: The candle gives off light.

Answer:",EleutherAI/pythia-14m,S,12,2,yes,1.794421586964745e-05,3.116039079031907e-05,-0.7961944453940769,14067712
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a shin.

Sentence 2: People run into furniture when it's dark.

Answer:",EleutherAI/pythia-14m,J,13,2,yes,2.2703765353071503e-05,4.24887657572981e-05,-0.9041498517568459,14067712
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good source of vitamin A is orange vegetables like carrots.

Sentence 2: Carrots contain vitamin A.

Answer:",EleutherAI/pythia-14m,E,12,2,yes,4.079084828845225e-05,3.849292261293158e-05,0.08365229645380476,14067712
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke gunpowder.

Sentence 2: An explosion can blow your brains out.

Answer:",EleutherAI/pythia-14m,J,14,2,yes,2.2843849365017377e-05,2.5983588784583844e-05,-0.18579492933198305,14067712
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke heroin.

Sentence 2: Heroin will affect your brain.

Answer:",EleutherAI/pythia-14m,S,12,2,yes,3.886666672769934e-05,6.485940684797242e-05,-0.7387824451541602,14067712
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a widower.

Sentence 2: His wife wasn't very smart.

Answer:",EleutherAI/pythia-14m,J,16,2,no,2.1301908418536186e-05,3.029830077139195e-05,-0.5082541988988903,14067712
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a zombie.

Sentence 2: A zombie still has an intact brain.

Answer:",EleutherAI/pythia-14m,S,15,2,no,2.6352530767326243e-05,4.140777309658006e-05,-0.6519600990399821,14067712
A problem drinker is one who never buys.,One should take turns paying for the drinks.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never buys.

Sentence 2: One should take turns paying for the drinks.

Answer:",EleutherAI/pythia-14m,J,10,2,yes,3.222350278520025e-05,4.2372510506538674e-05,-0.39501528114290607,14067712
