sentence,answer,prompt,model,condition,n_tokens_sentence,n_tokens_word,correct,prob_yes,prob_no,lr,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes hours.

Sentence 2: Committees are very efficient.

Answer:",EleutherAI/pythia-1.4b,J,8,2,no,4.2658153688535094e-05,2.9590908525278792e-05,0.5276675328730129,1414647808
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes votes.

Sentence 2: Committees keep records and make decisions.

Answer:",EleutherAI/pythia-1.4b,S,8,2,yes,5.0750557420542464e-05,3.289147207397036e-05,0.6257100901341985,1414647808
A device for finding furniture in the dark is a candle.,The candle gives off light.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a candle.

Sentence 2: The candle gives off light.

Answer:",EleutherAI/pythia-1.4b,S,12,2,yes,3.5363435017643496e-05,1.8992930563399568e-05,0.896795890296541,1414647808
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a shin.

Sentence 2: People run into furniture when it's dark.

Answer:",EleutherAI/pythia-1.4b,J,13,2,yes,3.649065547506325e-05,2.97895930998493e-05,0.29271864827400945,1414647808
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good source of vitamin A is orange vegetables like carrots.

Sentence 2: Carrots contain vitamin A.

Answer:",EleutherAI/pythia-1.4b,E,12,2,yes,3.970057878177613e-05,2.0589830455719493e-05,0.9472280897670874,1414647808
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke gunpowder.

Sentence 2: An explosion can blow your brains out.

Answer:",EleutherAI/pythia-1.4b,J,14,2,yes,2.447620136081241e-05,2.2810412701801397e-05,0.10168712397253113,1414647808
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke heroin.

Sentence 2: Heroin will affect your brain.

Answer:",EleutherAI/pythia-1.4b,S,12,2,yes,2.8794915124308318e-05,2.459222923789639e-05,0.22761155119260934,1414647808
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a widower.

Sentence 2: His wife wasn't very smart.

Answer:",EleutherAI/pythia-1.4b,J,16,2,no,3.1114126613829285e-05,1.9449973478913307e-05,0.6778015617375319,1414647808
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a zombie.

Sentence 2: A zombie still has an intact brain.

Answer:",EleutherAI/pythia-1.4b,S,15,2,no,1.1956139132962562e-05,1.1478166015876923e-05,0.0588594445254048,1414647808
A problem drinker is one who never buys.,One should take turns paying for the drinks.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never buys.

Sentence 2: One should take turns paying for the drinks.

Answer:",EleutherAI/pythia-1.4b,J,10,2,yes,3.362298593856394e-05,1.8290091247763485e-05,0.8783855783200722,1414647808
