sentence,answer,prompt,model,condition,n_tokens_sentence,n_tokens_word,correct,prob_yes,prob_no,lr,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes hours.

Sentence 2: Committees are very efficient.

Answer:",EleutherAI/pythia-410m,J,8,2,no,0.00014531413035001606,2.5898067178786732e-05,2.4882586614856033,405334016
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes votes.

Sentence 2: Committees keep records and make decisions.

Answer:",EleutherAI/pythia-410m,S,8,2,yes,0.00016399472951889038,2.388462053204421e-05,2.7794955888693043,405334016
A device for finding furniture in the dark is a candle.,The candle gives off light.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a candle.

Sentence 2: The candle gives off light.

Answer:",EleutherAI/pythia-410m,S,12,2,yes,0.00019261793931946158,1.4101430679147597e-05,3.771828628020311,405334016
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a shin.

Sentence 2: People run into furniture when it's dark.

Answer:",EleutherAI/pythia-410m,J,13,2,yes,0.00014438611106015742,1.0007081982621457e-05,3.85083871405269,405334016
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good source of vitamin A is orange vegetables like carrots.

Sentence 2: Carrots contain vitamin A.

Answer:",EleutherAI/pythia-410m,E,12,2,yes,0.00015427006292156875,2.941651655419264e-05,2.3907598042784217,405334016
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke gunpowder.

Sentence 2: An explosion can blow your brains out.

Answer:",EleutherAI/pythia-410m,J,14,2,yes,0.0002360506186960265,2.5683566491352394e-05,3.2001788061727594,405334016
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke heroin.

Sentence 2: Heroin will affect your brain.

Answer:",EleutherAI/pythia-410m,S,12,2,yes,0.00025337966508232057,4.011373675893992e-05,2.6591324755380796,405334016
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a widower.

Sentence 2: His wife wasn't very smart.

Answer:",EleutherAI/pythia-410m,J,16,2,no,0.00015194322622846812,1.038332538882969e-05,3.871191895791352,405334016
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a zombie.

Sentence 2: A zombie still has an intact brain.

Answer:",EleutherAI/pythia-410m,S,15,2,no,0.00014114071382209659,1.10390346890199e-05,3.676448285644595,405334016
A problem drinker is one who never buys.,One should take turns paying for the drinks.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never buys.

Sentence 2: One should take turns paying for the drinks.

Answer:",EleutherAI/pythia-410m,J,10,2,yes,0.00017567524628248066,2.0848912754445337e-05,3.074866865160129,405334016
