sentence,answer,prompt,model,condition,n_tokens_sentence,n_tokens_word,correct,prob_yes,prob_no,lr,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes hours.

Sentence 2: Committees are very efficient.

Answer:",EleutherAI/pythia-160m,J,8,2,no,0.0016070649726316333,0.00011950387852266431,3.749298910410957,162322944
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes votes.

Sentence 2: Committees keep records and make decisions.

Answer:",EleutherAI/pythia-160m,S,8,2,yes,0.0020311851985752583,0.00013990445586387068,3.8598079698664525,162322944
A device for finding furniture in the dark is a candle.,The candle gives off light.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a candle.

Sentence 2: The candle gives off light.

Answer:",EleutherAI/pythia-160m,S,12,2,yes,0.0008103572763502598,6.0832229792140424e-05,3.7356503224233952,162322944
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a shin.

Sentence 2: People run into furniture when it's dark.

Answer:",EleutherAI/pythia-160m,J,13,2,yes,0.0015954355476424098,0.00015237288607750088,3.388272216760689,162322944
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good source of vitamin A is orange vegetables like carrots.

Sentence 2: Carrots contain vitamin A.

Answer:",EleutherAI/pythia-160m,E,12,2,yes,0.0008782112272456288,4.687991531682201e-05,4.227526109500895,162322944
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke gunpowder.

Sentence 2: An explosion can blow your brains out.

Answer:",EleutherAI/pythia-160m,J,14,2,yes,0.001837205607444048,0.00016992994642350823,3.434501068636078,162322944
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke heroin.

Sentence 2: Heroin will affect your brain.

Answer:",EleutherAI/pythia-160m,S,12,2,yes,0.001181329134851694,0.00018140619795303792,2.7031153226268585,162322944
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a widower.

Sentence 2: His wife wasn't very smart.

Answer:",EleutherAI/pythia-160m,J,16,2,no,0.0006692978786304593,0.00016232545021921396,2.043759230853584,162322944
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a zombie.

Sentence 2: A zombie still has an intact brain.

Answer:",EleutherAI/pythia-160m,S,15,2,no,0.0017382149817422032,0.00031122658401727676,2.481569323868313,162322944
A problem drinker is one who never buys.,One should take turns paying for the drinks.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never buys.

Sentence 2: One should take turns paying for the drinks.

Answer:",EleutherAI/pythia-160m,J,10,2,yes,0.0005139292916283011,0.00010637940431479365,2.272351017995343,162322944
A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never quits.

Sentence 2: Non-stop drinking isn't much of a problem.

Answer:",EleutherAI/pythia-160m,S,11,2,no,0.0007034291629679501,0.00014058308443054557,2.32298213436991,162322944
A replacement player hit a home run with my ball.,The player was playing baseball.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A replacement player hit a home run with my ball.

Sentence 2: The player was playing baseball.

Answer:",EleutherAI/pythia-160m,S,11,2,yes,0.0025035918224602938,0.0002563832968007773,3.287625189574051,162322944
A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A replacement player hit a home run with my girl.

Sentence 2: Someone else slept with my girlfriend.

Answer:",EleutherAI/pythia-160m,J,11,2,yes,0.0009532792610116303,0.0001486373512307182,2.6811022125787987,162322944
