sentence,answer,prompt,model,condition,n_tokens_sentence,n_tokens_word,correct,prob_yes,prob_no,lr,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes hours.

Sentence 2: Committees are very efficient.

Answer:",EleutherAI/pythia-2.8b,J,8,2,no,0.0012271690648049116,0.00031854878761805594,1.9457477683753612,2775208960
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A committee keeps minutes and takes votes.

Sentence 2: Committees keep records and make decisions.

Answer:",EleutherAI/pythia-2.8b,S,8,2,yes,0.0013294320087879896,0.00039969279896467924,1.7338465093548001,2775208960
A device for finding furniture in the dark is a candle.,The candle gives off light.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a candle.

Sentence 2: The candle gives off light.

Answer:",EleutherAI/pythia-2.8b,S,12,2,yes,0.0008414172334596515,0.0003036667185369879,1.4703325671830536,2775208960
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A device for finding furniture in the dark is a shin.

Sentence 2: People run into furniture when it's dark.

Answer:",EleutherAI/pythia-2.8b,J,13,2,yes,0.0008004707633517683,0.00023739907192066312,1.753534415281134,2775208960
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good source of vitamin A is orange vegetables like carrots.

Sentence 2: Carrots contain vitamin A.

Answer:",EleutherAI/pythia-2.8b,E,12,2,yes,0.0006934173288755119,0.0002059765683952719,1.7512436629396193,2775208960
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke gunpowder.

Sentence 2: An explosion can blow your brains out.

Answer:",EleutherAI/pythia-2.8b,J,14,2,yes,0.00163383805193007,0.0003829781198874116,2.0929311125420553,2775208960
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A good way to blow your mind is to smoke heroin.

Sentence 2: Heroin will affect your brain.

Answer:",EleutherAI/pythia-2.8b,S,12,2,yes,0.0015004047891125083,0.0004331938980612904,1.7922669465279089,2775208960
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a widower.

Sentence 2: His wife wasn't very smart.

Answer:",EleutherAI/pythia-2.8b,J,16,2,no,0.0008195268455892801,0.00030987223726697266,1.403117705364252,2775208960
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A man who has lost ninety percent of his brain is called a zombie.

Sentence 2: A zombie still has an intact brain.

Answer:",EleutherAI/pythia-2.8b,S,15,2,no,0.0006665820255875587,0.00027778674848377705,1.2628046368848937,2775208960
A problem drinker is one who never buys.,One should take turns paying for the drinks.,"In this task, you will be presented with a series of sentences. Some sentences will be serious statements, while others will be clever quips/jokes. In both cases your job is to determine whether the meaning of the second sentence is implied by the meaning of the first. If the two sentences have a similar meaning, answer ""yes"". If the two sentences do not have consistent meanings, answer ""no"".

Sentence 1: A problem drinker is one who never buys.

Sentence 2: One should take turns paying for the drinks.

Answer:",EleutherAI/pythia-2.8b,J,10,2,yes,0.0007880873163230717,0.0002621778112370521,1.5878098904383204,2775208960
