model,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes hours.,J,-4.3867188,1,hours,4.3867188,hours
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes votes.,S,-5.1679688,1,votes,5.1679688,votes
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a candle.,S,-6.8476562,1,candle,6.8476562,candle
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a shin.,J,-12.96875,1,shin,12.96875,shin
meta-llama/Meta-Llama-3-8B,A good source of vitamin A is orange vegetables like carrots.,E,-0.49072266,1,carrots,0.49072266,carrots
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke gunpowder.,J,-10.2230176948,3,gunpowder,10.2230176948,gunpowder
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke heroin.,S,-7.7109375,1,heroin,7.7109375,heroin
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a widower.,J,-10.273574829,2,widower,10.273574829,widower
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a zombie.,S,-3.7402344,1,zombie,3.7402344,zombie
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never buys.,J,-6.5976562,1,buys,6.5976562,buys
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never quits.,S,-6.4101562,1,quits,6.4101562,quits
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my ball.,S,-5.71875,1,ball,5.71875,ball
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my girl.,J,-7.28125,1,girl,7.28125,girl
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,J,-4.734375,1,fishing,4.734375,fishing
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from working.,S,-5.015625,1,working,5.015625,working
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two locations.,S,-5.5507812,1,locations,5.5507812,locations
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two paychecks.,J,-9.13134766,2,paychecks,9.13134766,paychecks
meta-llama/Meta-Llama-3-8B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",E,-0.09100342,1,thread,0.09100342,thread
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to profanity.",J,-12.234375,2,profanity,12.234375,profanity
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to somewhere.",S,-6.5,1,somewhere,6.5,somewhere
meta-llama/Meta-Llama-3-8B,All the plates were garnished with little sprigs of parsley.,E,-1.2724609,1,parsley,1.2724609,parsley
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his allowance.,J,-7.2226562,1,allowance,7.2226562,allowance
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his underwear.,S,-4.1757812,1,underwear,4.1757812,underwear
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern dance.,J,-6.96875,1,dance,6.96875,dance
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern science.,S,-5.1484375,1,science,5.1484375,science
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent breakups.,S,-4.5258789,2,breakups,4.5258789,breakups
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent marriage.,J,-5.0585938,1,marriage,5.0585938,marriage
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about others.,J,-4.4101562,1,others,4.4101562,others
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,S,-7.6445312,1,somebody,7.6445312,somebody
meta-llama/Meta-Llama-3-8B,Autumn is a good time to buy some new clothes.,E,-2.2578125,1,clothes,2.2578125,clothes
