model,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes hours.,J,-5.734375,1,hours,5.734375,hours
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes votes.,S,-3.0605469,1,votes,3.0605469,votes
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a candle.,S,-6.796875,1,candle,6.796875,candle
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a shin.,J,-12.0,1,shin,12.0,shin
meta-llama/Meta-Llama-3-70B,A good source of vitamin A is orange vegetables like carrots.,E,-0.74560547,1,carrots,0.74560547,carrots
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke gunpowder.,J,-9.434021951,3,gunpowder,9.434021951,gunpowder
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke heroin.,S,-7.84375,1,heroin,7.84375,heroin
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a widower.,J,-11.26864624,2,widower,11.26864624,widower
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a zombie.,S,-3.1933594,1,zombie,3.1933594,zombie
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never buys.,J,-3.0292969,1,buys,3.0292969,buys
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never quits.,S,-5.9257812,1,quits,5.9257812,quits
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my ball.,S,-4.9921875,1,ball,4.9921875,ball
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my girl.,J,-8.203125,1,girl,8.203125,girl
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,J,-6.8046875,1,fishing,6.8046875,fishing
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from working.,S,-5.6796875,1,working,5.6796875,working
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two locations.,S,-6.6835938,1,locations,6.6835938,locations
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two paychecks.,J,-11.0864258,2,paychecks,11.0864258,paychecks
meta-llama/Meta-Llama-3-70B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",E,-0.034240723,1,thread,0.034240723,thread
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to profanity.",J,-13.0571289,2,profanity,13.0571289,profanity
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to somewhere.",S,-4.9335938,1,somewhere,4.9335938,somewhere
meta-llama/Meta-Llama-3-70B,All the plates were garnished with little sprigs of parsley.,E,-1.3554688,1,parsley,1.3554688,parsley
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his allowance.,J,-6.8007812,1,allowance,6.8007812,allowance
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his underwear.,S,-5.4804688,1,underwear,5.4804688,underwear
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern dance.,J,-6.8945312,1,dance,6.8945312,dance
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern science.,S,-5.1523438,1,science,5.1523438,science
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent breakups.,S,-2.78637698,2,breakups,2.78637698,breakups
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent marriage.,J,-5.1679688,1,marriage,5.1679688,marriage
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about others.,J,-9.34375,1,others,9.34375,others
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,S,-15.53125,1,somebody,15.53125,somebody
meta-llama/Meta-Llama-3-70B,Autumn is a good time to buy some new clothes.,E,-2.5820312,1,clothes,2.5820312,clothes
meta-llama/Meta-Llama-3-70B,"Because of his diabetes, he had to take daily shots of insulin.",E,-0.042236328,1,insulin,0.042236328,insulin
meta-llama/Meta-Llama-3-70B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",E,-0.42626953,1,picnic,0.42626953,picnic
meta-llama/Meta-Llama-3-70B,Bill jumped in the lake and made a big splash.,E,-0.016494751,1,splash,0.016494751,splash
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",J,-4.2226562,1,husband,4.2226562,husband
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",S,-2.8242188,1,offspring,2.8242188,offspring
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",J,-9.890625,1,statue,9.890625,statue
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",S,-3.3515625,1,teenager,3.3515625,teenager
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the patrons.,J,-5.9414062,1,patrons,5.9414062,patrons
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the setting.,S,-5.5351562,1,setting,5.5351562,setting
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our patience.",J,-6.6914062,1,patience,6.6914062,patience
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our purchases.",S,-1.3173828,1,purchases,1.3173828,purchases
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",J,-11.0,1,girlfriend,11.0,girlfriend
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a piston.",S,-6.0625,1,piston,6.0625,piston
meta-llama/Meta-Llama-3-70B,Dogs crack open bones so they can eat the marrow.,E,-0.57714844,1,marrow,0.57714844,marrow
meta-llama/Meta-Llama-3-70B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",E,-0.08441162,1,toilet,0.08441162,toilet
meta-llama/Meta-Llama-3-70B,Eva turned down the heat and left the sauce on the stove to simmer.,E,-0.4230957,1,simmer,0.4230957,simmer
meta-llama/Meta-Llama-3-70B,Every introductory sailing class includes learning how to save a man drowning.,E,-11.203125,1,drowning,11.203125,drowning
meta-llama/Meta-Llama-3-70B,"Every time I wear my spring coat in the rain, it damages the fabric.",S,-1.7353516,1,fabric,1.7353516,fabric
meta-llama/Meta-Llama-3-70B,"Every time I wear my spring coat in the rain, it damages the springs.",J,-11.0625,1,springs,11.0625,springs
meta-llama/Meta-Llama-3-70B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,S,-4.5351562,1,platform,4.5351562,platform
meta-llama/Meta-Llama-3-70B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,J,-3.9160156,1,water,3.9160156,water
meta-llama/Meta-Llama-3-70B,"Except for not having a shell, slugs are a lot like snails.",E,-0.1135578184,2,snails,0.1135578184,snails
meta-llama/Meta-Llama-3-70B,"Figures don't lie, except on the beaches.",J,-8.546875,1,beaches,8.546875,beaches
meta-llama/Meta-Llama-3-70B,"Figures don't lie, except on the page.",S,-6.2421875,1,page,6.2421875,page
meta-llama/Meta-Llama-3-70B,"For a great vacation, put the kids in the back seat, and take a cruise.",J,-4.875,1,cruise,4.875,cruise
meta-llama/Meta-Llama-3-70B,"For a great vacation, put the kids in the back seat, and take a freeway.",S,-12.0390625,1,freeway,12.0390625,freeway
meta-llama/Meta-Llama-3-70B,"For his thirtieth birthday, all his friends gathered to celebrate.",E,-1.0068359,1,celebrate,1.0068359,celebrate
meta-llama/Meta-Llama-3-70B,For lunch he had an apple and a peanut butter sandwich.,E,-0.45043945,1,sandwich,0.45043945,sandwich
meta-llama/Meta-Llama-3-70B,"Frequent naps prevent old age, especially when taken while driving.",J,-3.2167969,1,driving,3.2167969,driving
meta-llama/Meta-Llama-3-70B,"Frequent naps prevent old age, especially when taken while relaxed.",S,-14.625,1,relaxed,14.625,relaxed
meta-llama/Meta-Llama-3-70B,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,E,-0.69384766,1,disciples,0.69384766,disciples
