model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes hours.,Committees are very efficient.,0,J,no,-2.9550781,-2.7050781,-0.25
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,0,S,yes,-2.0449219,-3.8574219,1.8125
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a candle.,The candle gives off light.,0,S,yes,-2.2832031,-3.6738281,1.390625
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,0,J,yes,-2.2734375,-3.2421875,0.96875
mistralai/Mixtral-8x7B-v0.1,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,0,E,yes,-2.2011719,-4.109375,1.9082031000000002
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,0,J,yes,-2.5488281,-3.2675781,0.71875
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,0,S,yes,-2.4042969,-3.6074219,1.203125
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,0,J,no,-2.640625,-3.3125,0.671875
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,0,S,no,-2.7070312,-3.4570312,0.75
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never buys.,One should take turns paying for the drinks.,0,J,yes,-2.640625,-3.09375,0.453125
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,0,S,no,-2.7226562,-3.2695312,0.546875
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my ball.,The player was playing baseball.,0,S,yes,-2.1796875,-3.3828125,1.203125
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,0,J,yes,-2.3535156,-3.1191406,0.765625
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,0,J,no,-2.5058594,-3.4433594,0.9375
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,0,S,yes,-2.6035156,-3.4160156,0.8125
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,0,S,no,-2.8203125,-3.4140625,0.59375
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,0,J,yes,-2.6054688,-3.6523438,1.046875
mistralai/Mixtral-8x7B-v0.1,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,0,E,no,-2.9277344,-2.5214844,-0.40625
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,0,J,yes,-2.7128906,-3.6972656,0.984375
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,0,S,no,-3.0507812,-3.5351562,0.484375
mistralai/Mixtral-8x7B-v0.1,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,0,E,yes,-2.3476562,-3.6914062,1.34375
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,0,J,yes,-2.5761719,-3.5917969,1.015625
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,0,S,yes,-2.5058594,-3.4902344,0.984375
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,0,J,yes,-2.6933594,-4.1445312,1.4511718000000005
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,0,S,no,-3.0058594,-2.7714844,-0.234375
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,0,S,yes,-2.0097656,-3.5878906,1.578125
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,0,J,no,-2.7265625,-2.9140625,0.1875
mistralai/Mixtral-8x7B-v0.1,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,0,J,no,-2.9609375,-3.7578125,0.796875
mistralai/Mixtral-8x7B-v0.1,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,0,S,no,-3.1542969,-3.4042969,0.25
mistralai/Mixtral-8x7B-v0.1,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,0,E,yes,-2.3222656,-3.4628906,1.140625
mistralai/Mixtral-8x7B-v0.1,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,0,E,no,-3.2148438,-2.6367188,-0.578125
mistralai/Mixtral-8x7B-v0.1,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,0,E,yes,-2.2363281,-3.7988281,1.5625
mistralai/Mixtral-8x7B-v0.1,Bill jumped in the lake and made a big splash.,Bill went for a swim.,0,E,yes,-2.3339844,-4.0859375,1.7519531000000002
mistralai/Mixtral-8x7B-v0.1,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,0,J,no,-2.8183594,-2.8339844,0.015625
mistralai/Mixtral-8x7B-v0.1,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,0,S,no,-2.8164062,-3.3007812,0.484375
