model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes hours.,Committees are very efficient.,0,J,no,-2.3808594,-3.2636719,0.8828125
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,0,S,yes,-2.1621094,-4.078125,1.9160156000000002
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a candle.,The candle gives off light.,0,S,yes,-2.2265625,-4.1640625,1.9375
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,0,J,yes,-2.2734375,-3.2734375,1.0
meta-llama/Meta-Llama-3-8B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,0,E,yes,-2.1523438,-4.6523438,2.4999999999999996
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,0,J,yes,-2.3066406,-3.7207031,1.4140625
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,0,S,yes,-2.0351562,-4.1601562,2.1250000000000004
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,0,J,no,-2.3222656,-3.2597656,0.9375
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,0,S,no,-2.2753906,-3.2285156,0.953125
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,0,J,yes,-2.5527344,-3.3339844,0.78125
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,0,S,no,-2.5683594,-3.4042969,0.8359375
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my ball.,The player was playing baseball.,0,S,yes,-2.109375,-3.3203125,1.2109375
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,0,J,yes,-2.1269531,-3.3300781,1.203125
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,0,J,no,-2.125,-3.3203125,1.1953125
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,0,S,yes,-2.0605469,-3.6542969,1.59375
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,0,S,no,-2.2617188,-3.7851562,1.5234373999999997
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,0,J,yes,-2.3242188,-3.4882812,1.1640623999999997
meta-llama/Meta-Llama-3-8B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,0,E,no,-2.3710938,-3.2851562,0.9140623999999997
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,0,J,yes,-2.2070312,-3.4414062,1.234375
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,0,S,no,-2.4921875,-3.4921875,1.0
meta-llama/Meta-Llama-3-8B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,0,E,yes,-2.09375,-3.78125,1.6875
