model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes hours.,Committees are very efficient.,0,J,no,-2.7597656,-1.7451172,-1.0146484000000002
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,0,S,yes,-1.3964844,-3.3183594,1.9218749999999998
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a candle.,The candle gives off light.,0,S,yes,-1.4472656,-2.6894531,1.2421875000000002
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,0,J,yes,-1.7363281,-2.4550781,0.7187500000000002
meta-llama/Meta-Llama-3-70B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,0,E,yes,-1.0664062,-4.2070312,3.140625
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,0,J,yes,-2.0019531,-2.1503906,0.1484375
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,0,S,yes,-1.5537109,-2.8417969,1.2880859999999998
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,0,J,no,-2.2207031,-2.0488281,-0.171875
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,0,S,no,-2.5585938,-1.8320312,-0.7265626000000001
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,0,J,yes,-2.2675781,-1.7441406,-0.5234375000000002
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,0,S,no,-1.8535156,-2.3769531,0.5234375000000002
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my ball.,The player was playing baseball.,0,S,yes,-1.765625,-2.3046875,0.5390625
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,0,J,yes,-1.6240234,-2.2558594,0.6318359999999998
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,0,J,no,-2.1835938,-1.8720703,-0.31152350000000006
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,0,S,yes,-1.5175781,-2.8691406,1.3515625000000002
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,0,S,no,-2.375,-2.1640625,-0.2109375
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,0,J,yes,-2.1367188,-2.1054688,-0.03125
meta-llama/Meta-Llama-3-70B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,0,E,no,-3.0371094,-1.5449219,-1.4921874999999998
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,0,J,yes,-2.109375,-2.0078125,-0.1015625
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,0,S,no,-2.8652344,-1.5224609,-1.3427734999999998
meta-llama/Meta-Llama-3-70B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,0,E,yes,-1.3916016,-3.9472656,2.555664
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,0,J,yes,-1.453125,-2.96875,1.515625
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,0,S,yes,-1.3349609,-3.1484375,1.8134766
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,0,J,yes,-1.6191406,-3.0957031,1.4765625000000002
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,0,S,no,-2.9121094,-1.6699219,-1.2421874999999998
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,0,S,yes,-1.3173828,-3.4023438,2.084961
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,0,J,no,-2.4003906,-1.6259766,-0.7744140000000002
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,0,J,no,-2.0351562,-1.9580078,-0.07714839999999978
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,0,S,no,-3.2714844,-1.4208984,-1.8505859999999998
meta-llama/Meta-Llama-3-70B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,0,E,yes,-1.3447266,-3.109375,1.7646484
meta-llama/Meta-Llama-3-70B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,0,E,no,-3.3671875,-1.2021484,-2.1650391
meta-llama/Meta-Llama-3-70B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,0,E,yes,-1.2988281,-3.8613281,2.5625
meta-llama/Meta-Llama-3-70B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,0,E,yes,-1.2519531,-2.9550781,1.7031250000000002
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,0,J,no,-2.7753906,-1.7285156,-1.0468750000000002
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,0,S,no,-3.0449219,-1.5839844,-1.4609374999999998
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,0,J,yes,-1.6513672,-2.5097656,0.8583984000000002
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,0,S,yes,-1.6376953,-2.2324219,0.5947265999999998
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,0,J,yes,-1.5693359,-2.609375,1.0400391
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,0,S,yes,-1.4892578,-2.8183594,1.3291015999999998
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,0,J,no,-3.4902344,-1.5449219,-1.9453124999999998
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,0,S,no,-3.4960938,-1.4648438,-2.03125
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,0,J,yes,-1.8154297,-2.3925781,0.5771484000000002
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,0,S,yes,-1.3896484,-2.9042969,1.5146484999999998
meta-llama/Meta-Llama-3-70B,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,0,E,yes,-1.078125,-3.8828125,2.8046875
meta-llama/Meta-Llama-3-70B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,0,E,yes,-1.3203125,-3.453125,2.1328125
meta-llama/Meta-Llama-3-70B,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,0,E,yes,-1.3857422,-3.7128906,2.3271484000000004
meta-llama/Meta-Llama-3-70B,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,0,E,yes,-1.3339844,-3.2246094,1.8906249999999998
meta-llama/Meta-Llama-3-70B,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,0,S,no,-2.6621094,-1.5537109,-1.1083984999999998
