sentence,answer,model,condition,correct,cosine_similarity,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,bert-large-uncased,J,no,0.8847142457962036,335141888
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,bert-large-uncased,S,yes,0.9310524463653564,335141888
A device for finding furniture in the dark is a candle.,The candle gives off light.,bert-large-uncased,S,yes,0.6091827750205994,335141888
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,bert-large-uncased,J,yes,0.6438056826591492,335141888
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,bert-large-uncased,E,yes,0.7029588222503662,335141888
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,bert-large-uncased,J,yes,0.7526288032531738,335141888
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,bert-large-uncased,S,yes,0.793472409248352,335141888
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,bert-large-uncased,J,no,0.48067259788513184,335141888
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,bert-large-uncased,S,no,0.7879855632781982,335141888
A problem drinker is one who never buys.,One should take turns paying for the drinks.,bert-large-uncased,J,yes,0.7613149881362915,335141888
A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,bert-large-uncased,S,no,0.7594054937362671,335141888
A replacement player hit a home run with my ball.,The player was playing baseball.,bert-large-uncased,S,yes,0.6536781191825867,335141888
A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,bert-large-uncased,J,yes,0.7916309237480164,335141888
A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,bert-large-uncased,J,no,0.8022393584251404,335141888
A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,bert-large-uncased,S,yes,0.8665269017219543,335141888
A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,bert-large-uncased,S,no,0.8063594102859497,335141888
A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,bert-large-uncased,J,yes,0.6329986453056335,335141888
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,bert-large-uncased,E,no,0.7330212593078613,335141888
"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,bert-large-uncased,J,yes,0.857375979423523,335141888
