sentence,answer,model,condition,correct,cosine_similarity,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,bert-base-uncased,J,no,0.8833284378051758,109482240
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,bert-base-uncased,S,yes,0.9032462239265442,109482240
A device for finding furniture in the dark is a candle.,The candle gives off light.,bert-base-uncased,S,yes,0.864597499370575,109482240
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,bert-base-uncased,J,yes,0.8348127603530884,109482240
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,bert-base-uncased,E,yes,0.8808867931365967,109482240
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,bert-base-uncased,J,yes,0.9290697574615479,109482240
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,bert-base-uncased,S,yes,0.9047725200653076,109482240
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,bert-base-uncased,J,no,0.8121700882911682,109482240
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,bert-base-uncased,S,no,0.913543164730072,109482240
A problem drinker is one who never buys.,One should take turns paying for the drinks.,bert-base-uncased,J,yes,0.8731929063796997,109482240
A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,bert-base-uncased,S,no,0.8843540549278259,109482240
A replacement player hit a home run with my ball.,The player was playing baseball.,bert-base-uncased,S,yes,0.8486623167991638,109482240
A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,bert-base-uncased,J,yes,0.8194129467010498,109482240
A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,bert-base-uncased,J,no,0.8251175880432129,109482240
A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,bert-base-uncased,S,yes,0.9059572815895081,109482240
A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,bert-base-uncased,S,no,0.8673508167266846,109482240
A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,bert-base-uncased,J,yes,0.8278103470802307,109482240
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,bert-base-uncased,E,no,0.7575922608375549,109482240
"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,bert-base-uncased,J,yes,0.7546765804290771,109482240
"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,bert-base-uncased,S,no,0.8554475903511047,109482240
All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,bert-base-uncased,E,yes,0.9481035470962524,109482240
Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,bert-base-uncased,J,yes,0.8605577945709229,109482240
Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,bert-base-uncased,S,yes,0.8870092630386353,109482240
Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,bert-base-uncased,J,yes,0.9066381454467773,109482240
Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,bert-base-uncased,S,no,0.8775180578231812,109482240
Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,bert-base-uncased,S,yes,0.9060006141662598,109482240
Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,bert-base-uncased,J,no,0.8961482644081116,109482240
Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,bert-base-uncased,J,no,0.9084935784339905,109482240
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,bert-base-uncased,S,no,0.8963430523872375,109482240
Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,bert-base-uncased,E,yes,0.94499272108078,109482240
"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,bert-base-uncased,E,no,0.8566740155220032,109482240
"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,bert-base-uncased,E,yes,0.9390469789505005,109482240
Bill jumped in the lake and made a big splash.,Bill went for a swim.,bert-base-uncased,E,yes,0.856037974357605,109482240
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,bert-base-uncased,J,no,0.9323037266731262,109482240
"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,bert-base-uncased,S,no,0.9360408782958984,109482240
"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,bert-base-uncased,J,yes,0.9271147847175598,109482240
"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,bert-base-uncased,S,yes,0.8649369478225708,109482240
Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,bert-base-uncased,J,yes,0.8194252252578735,109482240
Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,bert-base-uncased,S,yes,0.8696432113647461,109482240
