sentence,answer,model,condition,correct,cosine_similarity,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,bert-base-cased,J,no,0.9623761177062988,108310272
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,bert-base-cased,S,yes,0.9748637080192566,108310272
A device for finding furniture in the dark is a candle.,The candle gives off light.,bert-base-cased,S,yes,0.9599994421005249,108310272
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,bert-base-cased,J,yes,0.9462230801582336,108310272
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,bert-base-cased,E,yes,0.9689053297042847,108310272
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,bert-base-cased,J,yes,0.9838041663169861,108310272
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,bert-base-cased,S,yes,0.9599373936653137,108310272
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,bert-base-cased,J,no,0.9488645792007446,108310272
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,bert-base-cased,S,no,0.9742001295089722,108310272
A problem drinker is one who never buys.,One should take turns paying for the drinks.,bert-base-cased,J,yes,0.9690172076225281,108310272
A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,bert-base-cased,S,no,0.9636279344558716,108310272
A replacement player hit a home run with my ball.,The player was playing baseball.,bert-base-cased,S,yes,0.9382239580154419,108310272
A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,bert-base-cased,J,yes,0.9676868915557861,108310272
A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,bert-base-cased,J,no,0.973717212677002,108310272
A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,bert-base-cased,S,yes,0.976832389831543,108310272
A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,bert-base-cased,S,no,0.9651734828948975,108310272
A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,bert-base-cased,J,yes,0.937332272529602,108310272
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,bert-base-cased,E,no,0.9543206691741943,108310272
"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,bert-base-cased,J,yes,0.9695913791656494,108310272
"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,bert-base-cased,S,no,0.9767520427703857,108310272
All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,bert-base-cased,E,yes,0.9854649305343628,108310272
Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,bert-base-cased,J,yes,0.9636390209197998,108310272
Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,bert-base-cased,S,yes,0.9563099145889282,108310272
Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,bert-base-cased,J,yes,0.9680078625679016,108310272
Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,bert-base-cased,S,no,0.9726758003234863,108310272
Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,bert-base-cased,S,yes,0.9657379984855652,108310272
Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,bert-base-cased,J,no,0.9524964094161987,108310272
Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,bert-base-cased,J,no,0.9817758798599243,108310272
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,bert-base-cased,S,no,0.9769453406333923,108310272
Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,bert-base-cased,E,yes,0.9807549715042114,108310272
"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,bert-base-cased,E,no,0.9775503873825073,108310272
"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,bert-base-cased,E,yes,0.9712144136428833,108310272
Bill jumped in the lake and made a big splash.,Bill went for a swim.,bert-base-cased,E,yes,0.9767013192176819,108310272
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,bert-base-cased,J,no,0.9613226652145386,108310272
