sentence,answer,model,condition,correct,cosine_similarity,n_params
A committee keeps minutes and takes hours.,Committees are very efficient.,bert-large-cased,J,no,0.9764943718910217,333579264
A committee keeps minutes and takes votes.,Committees keep records and make decisions.,bert-large-cased,S,yes,0.98671954870224,333579264
A device for finding furniture in the dark is a candle.,The candle gives off light.,bert-large-cased,S,yes,0.9335293173789978,333579264
A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,bert-large-cased,J,yes,0.9103056788444519,333579264
A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,bert-large-cased,E,yes,0.945399284362793,333579264
A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,bert-large-cased,J,yes,0.9332611560821533,333579264
A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,bert-large-cased,S,yes,0.9521664977073669,333579264
A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,bert-large-cased,J,no,0.9100161194801331,333579264
A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,bert-large-cased,S,no,0.9631274938583374,333579264
A problem drinker is one who never buys.,One should take turns paying for the drinks.,bert-large-cased,J,yes,0.9205678105354309,333579264
A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,bert-large-cased,S,no,0.9474999308586121,333579264
A replacement player hit a home run with my ball.,The player was playing baseball.,bert-large-cased,S,yes,0.9121506810188293,333579264
A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,bert-large-cased,J,yes,0.8750056028366089,333579264
A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,bert-large-cased,J,no,0.9077073335647583,333579264
A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,bert-large-cased,S,yes,0.9514053463935852,333579264
A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,bert-large-cased,S,no,0.9351727962493896,333579264
A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,bert-large-cased,J,yes,0.9165582060813904,333579264
"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,bert-large-cased,E,no,0.9156919121742249,333579264
"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,bert-large-cased,J,yes,0.9352954626083374,333579264
"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,bert-large-cased,S,no,0.9266952872276306,333579264
All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,bert-large-cased,E,yes,0.9769729971885681,333579264
Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,bert-large-cased,J,yes,0.9584308862686157,333579264
Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,bert-large-cased,S,yes,0.9235646724700928,333579264
Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,bert-large-cased,J,yes,0.942399799823761,333579264
Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,bert-large-cased,S,no,0.9690312743186951,333579264
Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,bert-large-cased,S,yes,0.9127877950668335,333579264
Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,bert-large-cased,J,no,0.9100034832954407,333579264
Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,bert-large-cased,J,no,0.952429473400116,333579264
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,bert-large-cased,S,no,0.9563935995101929,333579264
Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,bert-large-cased,E,yes,0.9780629873275757,333579264
"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,bert-large-cased,E,no,0.9712852835655212,333579264
"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,bert-large-cased,E,yes,0.9596567749977112,333579264
Bill jumped in the lake and made a big splash.,Bill went for a swim.,bert-large-cased,E,yes,0.9489011168479919,333579264
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,bert-large-cased,J,no,0.9419382214546204,333579264
"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,bert-large-cased,S,no,0.9586407542228699,333579264
"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,bert-large-cased,J,yes,0.9487431049346924,333579264
"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,bert-large-cased,S,yes,0.9082080125808716,333579264
Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,bert-large-cased,J,yes,0.9182049632072449,333579264
Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,bert-large-cased,S,yes,0.9179078936576843,333579264
"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,bert-large-cased,J,no,0.9205723404884338,333579264
"Congress taxes our income, our property, and our purchases.",There are very few taxes.,bert-large-cased,S,no,0.9521679282188416,333579264
"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,bert-large-cased,J,yes,0.9238759279251099,333579264
"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,bert-large-cased,S,yes,0.9414125680923462,333579264
Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,bert-large-cased,E,yes,0.955213725566864,333579264
"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,bert-large-cased,E,yes,0.9228586554527283,333579264
Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,bert-large-cased,E,yes,0.9296978712081909,333579264
Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,bert-large-cased,E,yes,0.9518777132034302,333579264
"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,bert-large-cased,S,no,0.8849048614501953,333579264
"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,bert-large-cased,J,yes,0.9433104395866394,333579264
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,bert-large-cased,S,no,0.9179116487503052,333579264
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,bert-large-cased,J,yes,0.9283443093299866,333579264
"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,bert-large-cased,E,yes,0.8509321808815002,333579264
"Figures don't lie, except on the beaches.",People lie in the sand.,bert-large-cased,J,yes,0.9289858341217041,333579264
"Figures don't lie, except on the page.",Statistics are completely reliable.,bert-large-cased,S,no,0.9298223853111267,333579264
"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,bert-large-cased,J,no,0.9610229134559631,333579264
"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,bert-large-cased,S,yes,0.9593299627304077,333579264
"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,bert-large-cased,E,yes,0.9584548473358154,333579264
For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,bert-large-cased,E,yes,0.9645888805389404,333579264
"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,bert-large-cased,J,yes,0.8903610110282898,333579264
"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,bert-large-cased,S,no,0.903708279132843,333579264
