model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes hours.,Committees are very efficient.,J,no,-1.5644531,-2.5175781,0.9531250000000002,True
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,yes,-1.7216797,-2.0175781,0.29589840000000023,False
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,yes,-1.6865234,-1.9365234,0.25,False
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,yes,-1.4472656,-2.5566406,1.1093750000000002,True
meta-llama/Meta-Llama-3-70B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,yes,-2.3867188,-1.3945312,-0.9921876000000001,False
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,yes,-1.6914062,-1.9101562,0.21875,True
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,yes,-1.7255859,-1.9443359,0.21875,False
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,no,-1.6435547,-1.9482422,0.3046875,True
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,no,-1.6640625,-1.8828125,0.21875,False
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,yes,-1.6962891,-2.4082031,0.7119140000000002,True
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,no,-1.8056641,-2.1113281,0.30566400000000016,False
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my ball.,The player was playing baseball.,S,yes,-1.6074219,-1.7714844,0.1640625,False
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,yes,-1.5917969,-1.8261719,0.234375,True
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,no,-1.8720703,-1.5908203,-0.28125,True
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,yes,-1.9501953,-1.5439453,-0.40625,False
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,no,-1.8955078,-2.0039062,0.10839839999999978,False
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,yes,-1.9248047,-1.9716797,0.046875,True
meta-llama/Meta-Llama-3-70B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,no,-1.8222656,-1.5957031,-0.2265625,False
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,yes,-1.7851562,-1.8945312,0.109375,True
