model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes hours.,Committees are very efficient.,J,no,-1.7490234,-1.7412109,-0.0078125,True
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,yes,-2.171875,-1.484375,-0.6875,False
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,yes,-1.8496094,-1.5996094,-0.25,False
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,yes,-1.7353516,-1.5791016,-0.15625,True
meta-llama/Meta-Llama-3-8B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,yes,-2.2441406,-1.3779297,-0.8662109000000002,False
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,yes,-1.8408203,-1.5048828,-0.3359375,True
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,yes,-1.9785156,-1.4628906,-0.515625,False
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,no,-1.8515625,-1.5859375,-0.265625,True
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,no,-1.859375,-1.6015625,-0.2578125,False
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,yes,-1.7099609,-1.8037109,0.09375,True
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,no,-1.7050781,-1.8769531,0.171875,False
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my ball.,The player was playing baseball.,S,yes,-1.5791016,-1.7275391,0.1484375,False
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,yes,-1.5615234,-1.7412109,0.1796875,True
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,no,-1.7910156,-1.6660156,-0.125,True
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,yes,-1.8115234,-1.6240234,-0.1875,False
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,no,-1.8789062,-1.5585938,-0.32031240000000016,False
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,yes,-1.5283203,-1.9111328,0.3828125,True
