model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes hours.,Committees are very efficient.,J,no,-1.2119141,-2.4296875,1.2177734,True
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,yes,-1.3212891,-1.9775391,0.65625,False
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,yes,-1.1660156,-2.2753906,1.1093750000000002,False
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,yes,-1.1845703,-2.4335938,1.2490235,True
mistralai/Mixtral-8x7B-v0.1,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,yes,-2.6367188,-1.1210938,-1.5156250000000002,False
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,yes,-1.2451172,-1.8544922,0.609375,True
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,yes,-1.2470703,-1.9501953,0.703125,False
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,no,-1.3378906,-1.7753906,0.4375,True
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,no,-1.2783203,-1.8251953,0.546875,False
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,yes,-1.4755859,-2.1621094,0.6865234999999998,True
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,no,-1.4169922,-2.3242188,0.9072266000000002,False
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my ball.,The player was playing baseball.,S,yes,-1.3652344,-1.8652344,0.5,False
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,yes,-1.2041016,-1.8603516,0.65625,True
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,no,-1.5742188,-1.4648438,-0.109375,True
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,yes,-1.7509766,-1.3291016,-0.421875,False
