Condition,Exp Code,Sentence,Answer,Correct,First Five Words,Group Number,Same/Different
J,1017,A committee keeps minutes and takes hours.,Committees are very efficient.,no,a committee keeps minutes and,1,Different
S,3017,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,yes,a committee keeps minutes and,1,Different
S,4013,A device for finding furniture in the dark is a candle.,The candle gives off light.,yes,a device for finding furniture,2,Same
J,2013,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,yes,a device for finding furniture,2,Same
E,6056,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,yes,a good source of vitamin,3,E
J,1067,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,yes,a good way to blow,4,Same
S,3067,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,yes,a good way to blow,4,Same
J,2141,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,no,a man who has lost,5,Same
S,4141,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,no,a man who has lost,5,Same
J,1037,A problem drinker is one who never buys.,One should take turns paying for the drinks.,yes,a problem drinker is one,6,Different
S,3037,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,no,a problem drinker is one,6,Different
S,4007,A replacement player hit a home run with my ball.,The player was playing baseball.,yes,a replacement player hit a,7,Same
J,2007,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,yes,a replacement player hit a,7,Same
J,1003,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,no,a thoughtful wife has pork,8,Different
S,3003,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,yes,a thoughtful wife has pork,8,Different
S,3094,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,no,a vacation is the shortest,9,Different
J,1094,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,yes,a vacation is the shortest,9,Different
E,5014,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,no,after olga tore her red,10,E
J,2121,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,yes,"all roads lead to rome,",11,Different
S,4121,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,no,"all roads lead to rome,",11,Different
E,6072,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,yes,all the plates were garnished,12,E
J,1062,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,yes,another thing a small boy,13,Same
S,4062,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,yes,another thing a small boy,13,Same
J,1085,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,yes,another thing that has developed,14,Different
S,3085,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,no,another thing that has developed,14,Different
S,4047,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,yes,arguments between couples are healthy;,15,Different
J,2047,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,no,arguments between couples are healthy;,15,Different
J,2120,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,no,autobiography is an unrivaled vehicle,16,Same
S,3120,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,no,autobiography is an unrivaled vehicle,16,Same
E,5061,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,yes,autumn is a good time,17,E
E,5018,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,no,"because of his diabetes, he",18,E
E,6011,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,yes,"before the outdoor concert, he",19,E
E,5005,Bill jumped in the lake and made a big splash.,Bill went for a swim.,yes,bill jumped in the lake,20,E
J,1055,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,no,by the time mary had,21,Same
S,3055,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,no,by the time mary had,21,Same
J,1048,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,yes,"charged with statutory rape, he",22,Same
S,3048,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,yes,"charged with statutory rape, he",22,Same
J,2122,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,yes,cocktail lounges are usually half,23,Same
S,4122,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,yes,cocktail lounges are usually half,23,Same
J,2059,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,no,"congress taxes our income, our",24,Same
S,4059,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,no,"congress taxes our income, our",24,Same
J,2125,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,yes,diamonds are produced by great,25,Same
S,4125,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,yes,diamonds are produced by great,25,Same
E,6059,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,yes,dogs crack open bones so,26,E
E,6003,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,yes,during the worst part of,27,E
E,6051,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,yes,eva turned down the heat,28,E
E,6079,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,yes,every introductory sailing class includes,29,E
S,4110,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,no,every time i wear my,30,Different
J,2110,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,yes,every time i wear my,30,Different
S,3112,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,no,everyone had so much fun,31,Different
J,1112,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,yes,everyone had so much fun,31,Different
E,6044,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,yes,except for not having a,32,E
J,1132,"Figures don't lie, except on the beaches.",People lie in the sand.,yes,"figures don't lie, except on",33,Different
S,3132,"Figures don't lie, except on the page.",Statistics are completely reliable.,no,"figures don't lie, except on",33,Different
J,2063,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,no,"for a great vacation, put",34,Different
S,4063,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,yes,"for a great vacation, put",34,Different
E,5066,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,yes,"for his thirtieth birthday, all",35,E
E,5013,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,yes,for lunch he had an,36,E
J,1089,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,yes,"frequent naps prevent old age,",37,Different
S,3089,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,no,"frequent naps prevent old age,",37,Different
