"ParticipantID","TrialNumber","Response","ReactionTime","Sentence","TargetWords","Surprisal","NumTokens","LastEventCode","StimType","CounterBalance","ComprehensionQuestion","CorrectAnswer","Match"
"5ef3fff5be34bd1aaa40adc1",1,"YES",1633.268,"The whole town came to hear their mayor speak","speak",3.911737277,1,5025,"expected","1C","The people wanted to hear what the mayor would say.","yes",1
"5ef3fff5be34bd1aaa40adc1",2,"YES",9241.68399998212,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the bathtub","bathtub",9.085282771,2,2038,"joke","1C","The prisoner had been dirty and needed to be washed.","yes",1
"5ef3fff5be34bd1aaa40adc1",3,"YES",1666.12199999404,"Love has its benefits, and they are usually called alimony","alimony",18.88641237,2,1150,"joke","1C","Divorce can get you some money.","yes",1
"5ef3fff5be34bd1aaa40adc1",4,"NO",1683.68799998808,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement","statement",8.74219597,1,4011,"straight","1C","He never hears from the company.","no",1
"5ef3fff5be34bd1aaa40adc1",5,"NO",1316.61400000001,"The policeman saw him throw the bottle out the window and gave him a ticket for littering","littering",9.591963528,2,5026,"expected","1C","He got a ticket for speeding.","no",1
"5ef3fff5be34bd1aaa40adc1",6,"YES",3996.71399997616,"A thoughtful wife has pork chops ready when her husband comes home from working","working",8.0518802,1,3003,"straight","1C","A nice wife cooks dinner for her husband.","yes",1
"5ef3fff5be34bd1aaa40adc1",7,"YES",983.293999999994,"My doctor has never violated his oath: the oath he took years ago to become a practitioner","practitioner",11.97259273,1,4029,"straight","1C","My doctor is very honorable.","yes",1
"5ef3fff5be34bd1aaa40adc1",8,"NO",5677.91099999999,"She was suddenly called back to New York and had to take a cab to the airport","airport",3.021786889,1,5033,"expected","1C","She was going to take a train.","no",1
"5ef3fff5be34bd1aaa40adc1",9,"YES",1476.73699998808,"He spilled some of the quart of oil onto the engine because he didn't have a funnel","funnel",13.99511469,1,5041,"expected","1C","He was pouring oil into the car.","yes",1
"5ef3fff5be34bd1aaa40adc1",10,"NO",3397.98299999404,"It's extraordinary what fine poker hand you get when you're playing bridge","bridge",17.02911973,1,1118,"joke","1C","You always get the best hand just when you need it.","no",1
