model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
text-davinci-002,A committee keeps minutes and takes hours.,Committees are very efficient.,0,J,no,-1.7433275,-1.0635797,-0.6797477999999999,True
text-davinci-002,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,0,S,yes,-7.378091,-0.2783569,-7.0997341,False
text-davinci-002,A device for finding furniture in the dark is a candle.,The candle gives off light.,0,S,yes,-3.0080986,-0.43599793,-2.5721006699999998,False
text-davinci-002,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,0,J,yes,-3.017649,-0.35919356,-2.65845544,True
text-davinci-002,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,0,E,yes,-10.157684,-0.34694216,-9.81074184,False
text-davinci-002,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,0,J,yes,-4.7572637,-0.23523484,-4.52202886,True
text-davinci-002,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,0,S,yes,-6.494085,-0.3007483,-6.1933367,False
text-davinci-002,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,0,J,no,-2.281715,-0.50395,-1.777765,True
text-davinci-002,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,0,S,no,-2.3097932,-0.70605,-1.6037432000000003,False
text-davinci-002,A problem drinker is one who never buys.,One should take turns paying for the drinks.,0,J,yes,-1.7457659,-1.1037648,-0.6420011000000001,True
text-davinci-002,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,0,S,no,-3.7554016,-0.4493133,-3.3060883,False
text-davinci-002,A replacement player hit a home run with my ball.,The player was playing baseball.,0,S,yes,-4.5628643,-0.43398938,-4.12887492,False
text-davinci-002,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,0,J,yes,-3.1684685,-0.4470425,-2.721426,True
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,0,J,no,-6.365161,-0.23011214,-6.1350488599999995,True
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,0,S,yes,-6.760402,-0.2755916,-6.4848104,False
text-davinci-002,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,0,S,no,-4.696345,-0.34275776,-4.3535872399999995,False
text-davinci-002,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,0,J,yes,-4.9084363,-0.5955538,-4.3128825,True
text-davinci-002,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,0,E,no,-7.4738255,-0.26608136,-7.20774414,False
text-davinci-002,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,0,J,yes,-1.8520458,-1.0454441,-0.8066016999999999,True
text-davinci-002,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,0,S,no,-3.304357,-0.54104763,-2.76330937,False
text-davinci-002,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,0,E,yes,-8.112878,-0.24928802,-7.86358998,False
text-davinci-002,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,0,J,yes,-3.576187,-0.45474818,-3.12143882,True
text-davinci-002,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,0,S,yes,-3.4561481,-0.42360052,-3.03254758,False
text-davinci-002,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,0,J,yes,-6.5324626,-0.29933387,-6.23312873,True
text-davinci-002,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,0,S,no,-8.358382,-0.33802283,-8.02035917,False
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,0,S,yes,-6.513236,-0.275085,-6.238151,False
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,0,J,no,-1.7750573,-1.3290713,-0.445986,True
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,0,J,no,-4.9728947,-0.24737275,-4.72552195,True
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,0,S,no,-7.074494,-0.23780411,-6.83668989,False
text-davinci-002,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,0,E,yes,-9.265272,-0.41528574,-8.84998626,False
text-davinci-002,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,0,E,no,-7.6763625,-0.1520605,-7.524302,False
text-davinci-002,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,0,E,yes,-8.909804,-0.08726313,-8.82254087,False
text-davinci-002,Bill jumped in the lake and made a big splash.,Bill went for a swim.,0,E,yes,-7.194383,-0.19909815,-6.99528485,False
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,0,J,no,-1.7323914,-1.0136131,-0.7187783000000001,True
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,0,S,no,-4.0543847,-0.42998683,-3.62439787,False
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,0,J,yes,-0.64581954,-4.7852116,4.1393920600000005,True
