model,sentence,answer,condition,best_response,best_response_lp,entropy,is_joke
text-davinci-002,A committee keeps minutes and takes hours.,Committees are very efficient.,J,3,-0.6157637,0.6947640527121827,True
text-davinci-002,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,1,-0.6494447,0.6696040349256758,False
text-davinci-002,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,3,-0.61351985,0.6409763491102636,False
text-davinci-002,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,3,-0.39336234,0.7048908639514327,True
text-davinci-002,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,1,-0.10058887,0.09839396331970957,False
text-davinci-002,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,1,-0.15017179,0.28492603532645416,True
text-davinci-002,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,1,-0.081383884,0.07691698006610455,False
text-davinci-002,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,3,-0.74947536,1.1348599353186528,True
text-davinci-002,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,3,-0.8071268,1.006434111942245,False
text-davinci-002,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,3,-1.241202,0.9183962328878892,True
text-davinci-002,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,3,-0.74773693,0.8378937053315322,False
text-davinci-002,A replacement player hit a home run with my ball.,The player was playing baseball.,S,3,-0.7457903,0.8800984044402763,False
text-davinci-002,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,3,-0.72495884,0.9648146730479568,True
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,3,-0.9834159,1.0227282910452826,True
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,1,-0.62364143,0.8957402738268943,False
text-davinci-002,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,3,-0.77379894,0.7017676639346427,False
text-davinci-002,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,3,-0.6673703,0.7193209953801021,True
text-davinci-002,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,2,-0.78515035,0.8492416337851281,False
text-davinci-002,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,3,-1.0583643,0.9814015321172485,True
text-davinci-002,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,3,-0.4436282,0.5998929943821298,False
text-davinci-002,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,1,-0.07117131,0.08416361844889356,False
text-davinci-002,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,3,-0.7569477,0.7984055836306942,True
text-davinci-002,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,3,-0.9338644,0.8767888803622975,False
text-davinci-002,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,1,-0.5398674,0.7148954246096123,True
text-davinci-002,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,1,-0.10019229,0.11213022184598744,False
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,2,-1.17846,1.0571521286683252,False
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,3,-0.79267013,0.849370111902903,True
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,3,-0.6167753,0.8604024578624655,True
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,3,-0.7681052,0.9328734206586817,False
text-davinci-002,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,1,-0.06696625,0.06333489026863519,False
text-davinci-002,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,1,-0.23903625,0.5211751720766271,False
text-davinci-002,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,1,-0.5358793,0.7616858896851393,False
