model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
text-davinci-002,A committee keeps minutes and takes hours.,Committees are very efficient.,0,J,no,-5.995596,-0.04993588,-5.94566012
text-davinci-002,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,0,S,yes,-0.3275809,-6.389618,6.0620370999999995
text-davinci-002,A device for finding furniture in the dark is a candle.,The candle gives off light.,0,S,yes,-0.6305447,-7.9600163,7.329471600000001
text-davinci-002,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,0,J,yes,-3.0307362,-0.408795,-2.6219412
text-davinci-002,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,0,E,yes,-0.29538363,-10.074741,9.77935737
text-davinci-002,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,0,J,yes,-1.215735,-1.3984312,0.1826962000000001
text-davinci-002,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,0,S,yes,-0.3052285,-6.3846426,6.0794141
text-davinci-002,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,0,J,no,-5.4593472,-0.2201921,-5.2391551
text-davinci-002,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,0,S,no,-8.623028,-0.4114857,-8.2115423
text-davinci-002,A problem drinker is one who never buys.,One should take turns paying for the drinks.,0,J,yes,-6.867718,-0.26665992,-6.60105808
text-davinci-002,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,0,S,no,-5.738162,-0.28224993,-5.45591207
text-davinci-002,A replacement player hit a home run with my ball.,The player was playing baseball.,0,S,yes,-0.41342375,-4.589829,4.17640525
text-davinci-002,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,0,J,yes,-1.0899938,-0.7192349,-0.3707589
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,0,J,no,-4.9746947,-0.13079481,-4.843899889999999
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,0,S,yes,-0.31508878,-7.6638074,7.34871862
text-davinci-002,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,0,S,no,-2.1246567,-0.3643751,-1.7602816000000001
text-davinci-002,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,0,J,yes,-1.7300111,-0.62588626,-1.1041248399999999
text-davinci-002,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,0,E,no,-6.964225,-0.09933338,-6.86489162
text-davinci-002,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,0,J,yes,-1.5758227,-0.76234275,-0.8134799500000001
text-davinci-002,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,0,S,no,-7.4387155,-0.18637453,-7.25234097
text-davinci-002,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,0,E,yes,-0.17611562,-11.056377,10.88026138
