model,params,text,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
ada,350000000,False,A committee keeps minutes and takes hours.,J,-7.5845213,1, hours,7.5845213, hours
ada,350000000,False,A committee keeps minutes and takes votes.,S,-3.233978,1, votes,3.233978, votes
ada,350000000,False,A device for finding furniture in the dark is a candle.,S,-10.927285,1, candle,10.927285, candle
ada,350000000,False,A device for finding furniture in the dark is a shin.,J,-13.005624,1, shin,13.005624, shin
ada,350000000,False,A good source of vitamin A is orange vegetables like carrots.,E,-2.4517448,1, carrots,2.4517448, carrots
ada,350000000,False,A good way to blow your mind is to smoke gunpowder.,J,-11.5119417,2, gunpowder,11.5119417, gunpowder
ada,350000000,False,A good way to blow your mind is to smoke heroin.,S,-7.5704007,1, heroin,7.5704007, heroin
ada,350000000,False,A man who has lost ninety percent of his brain is called a widower.,J,-11.296995478,2, widower,11.296995478, widower
ada,350000000,False,A man who has lost ninety percent of his brain is called a zombie.,S,-2.125828,1, zombie,2.125828, zombie
ada,350000000,False,A problem drinker is one who never buys.,J,-5.8107376,1, buys,5.8107376, buys
ada,350000000,False,A problem drinker is one who never quits.,S,-5.4698295,2, quits,5.4698295, quits
ada,350000000,False,A replacement player hit a home run with my ball.,S,-5.226217,1, ball,5.226217, ball
ada,350000000,False,A replacement player hit a home run with my girl.,J,-7.2605953,1, girl,7.2605953, girl
ada,350000000,False,A thoughtful wife has pork chops ready when her husband comes home from fishing.,J,-6.552282,1, fishing,6.552282, fishing
ada,350000000,False,A thoughtful wife has pork chops ready when her husband comes home from working.,S,-5.816232,1, working,5.816232, working
ada,350000000,False,A vacation is the shortest distance between two locations.,S,-5.3264756,1, locations,5.3264756, locations
ada,350000000,False,A vacation is the shortest distance between two paychecks.,J,-17.0265452,2, paychecks,17.0265452, paychecks
ada,350000000,False,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",E,-0.48456135,1, thread,0.48456135, thread
ada,350000000,False,"All roads lead to Rome, and all detours lead to profanity.",J,-11.7536986,2, profanity,11.7536986, profanity
ada,350000000,False,"All roads lead to Rome, and all detours lead to somewhere.",S,-8.3362875,1, somewhere,8.3362875, somewhere
ada,350000000,False,All the plates were garnished with little sprigs of parsley.,E,-3.6842642595,2, parsley,3.6842642595, parsley
ada,350000000,False,Another thing a small boy is constantly outgrowing is his allowance.,J,-6.998694,1, allowance,6.998694, allowance
ada,350000000,False,Another thing a small boy is constantly outgrowing is his underwear.,S,-5.299092,1, underwear,5.299092, underwear
ada,350000000,False,Another thing that has developed by leaps and bounds is the modern dance.,J,-7.0163503,1, dance,7.0163503, dance
ada,350000000,False,Another thing that has developed by leaps and bounds is the modern science.,S,-5.5411634,1, science,5.5411634, science
ada,350000000,False,Arguments between couples are healthy; sometimes they even prevent breakups.,S,-6.8385499,2, breakups,6.8385499, breakups
ada,350000000,False,Arguments between couples are healthy; sometimes they even prevent marriage.,J,-5.0860367,1, marriage,5.0860367, marriage
ada,350000000,False,Autobiography is an unrivaled vehicle for telling the truth about others.,J,-8.571488,1, others,8.571488, others
ada,350000000,False,Autobiography is an unrivaled vehicle for telling the truth about somebody.,S,-8.065516,1, somebody,8.065516, somebody
ada,350000000,False,Autumn is a good time to buy some new clothes.,E,-2.6406937,1, clothes,2.6406937, clothes
ada,350000000,False,"Because of his diabetes, he had to take daily shots of insulin.",E,-0.47805342,1, insulin,0.47805342, insulin
ada,350000000,False,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",E,-2.2216637,1, picnic,2.2216637, picnic
ada,350000000,False,Bill jumped in the lake and made a big splash.,E,-0.25199285,1, splash,0.25199285, splash
ada,350000000,False,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",J,-5.173187,1, husband,5.173187, husband
ada,350000000,False,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",S,-5.4763303,1, offspring,5.4763303, offspring
ada,350000000,False,"Charged with statutory rape, he told the judge he didn't know she was a statue.",J,-10.898265,1, statue,10.898265, statue
ada,350000000,False,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",S,-5.2788577,1, teenager,5.2788577, teenager
ada,350000000,False,Cocktail lounges are usually half lit to match the patrons.,J,-7.7322,1, patrons,7.7322, patrons
ada,350000000,False,Cocktail lounges are usually half lit to match the setting.,S,-5.275937,1, setting,5.275937, setting
ada,350000000,False,"Congress taxes our income, our property, and our patience.",J,-11.069563,1, patience,11.069563, patience
ada,350000000,False,"Congress taxes our income, our property, and our purchases.",S,-6.671309,1, purchases,6.671309, purchases
ada,350000000,False,"Diamonds are produced by great pressure, usually provided by a girlfriend.",J,-13.610484,1, girlfriend,13.610484, girlfriend
ada,350000000,False,"Diamonds are produced by great pressure, usually provided by a piston.",S,-5.9787865,1, piston,5.9787865, piston
ada,350000000,False,Dogs crack open bones so they can eat the marrow.,E,-1.3420795,1, marrow,1.3420795, marrow
ada,350000000,False,"During the worst part of the drought, people were encouraged to not always flush the toilet.",E,-0.29209837,1, toilet,0.29209837, toilet
ada,350000000,False,Eva turned down the heat and left the sauce on the stove to simmer.,E,-1.5582725,1, simmer,1.5582725, simmer
ada,350000000,False,Every introductory sailing class includes learning how to save a man drowning.,E,-8.079817,1, drowning,8.079817, drowning
ada,350000000,False,"Every time I wear my spring coat in the rain, it damages the fabric.",S,-1.319742,1, fabric,1.319742, fabric
ada,350000000,False,"Every time I wear my spring coat in the rain, it damages the springs.",J,-7.9586926,1, springs,7.9586926, springs
ada,350000000,False,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,S,-9.54912,1, platform,9.54912, platform
ada,350000000,False,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,J,-4.7193785,1, water,4.7193785, water
ada,350000000,False,"Except for not having a shell, slugs are a lot like snails.",E,-4.555516032,2, snails,4.555516032, snails
ada,350000000,False,"Figures don't lie, except on the beaches.",J,-8.145388,1, beaches,8.145388, beaches
ada,350000000,False,"Figures don't lie, except on the page.",S,-4.0932593,1, page,4.0932593, page
ada,350000000,False,"For a great vacation, put the kids in the back seat, and take a cruise.",J,-4.5845437,1, cruise,4.5845437, cruise
ada,350000000,False,"For a great vacation, put the kids in the back seat, and take a freeway.",S,-10.883996,1, freeway,10.883996, freeway
ada,350000000,False,"For his thirtieth birthday, all his friends gathered to celebrate.",E,-0.7307262,1, celebrate,0.7307262, celebrate
ada,350000000,False,For lunch he had an apple and a peanut butter sandwich.,E,-0.44549653,1, sandwich,0.44549653, sandwich
ada,350000000,False,"Frequent naps prevent old age, especially when taken while driving.",J,-3.7863033,1, driving,3.7863033, driving
ada,350000000,False,"Frequent naps prevent old age, especially when taken while relaxed.",S,-8.685032,1, relaxed,8.685032, relaxed
ada,350000000,False,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,E,-0.9960646,1, disciples,0.9960646, disciples
ada,350000000,False,Hal wrote her a love letter.,E,-0.5084136,1, letter,0.5084136, letter
ada,350000000,False,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",S,-8.691706,1, change,8.691706, change
ada,350000000,False,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",J,-3.2057865,1, room,3.2057865, room
ada,350000000,False,He drank so much that he eventually became a beverage.,J,-8.27291,1, beverage,8.27291, beverage
ada,350000000,False,He drank so much that he eventually became a lush.,S,-9.437312,1, lush,9.437312, lush
