model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
text-davinci-002,A committee keeps minutes and takes hours.,Committees are very efficient.,1,J,no,-11.447193,-0.005540353,-11.441652647
text-davinci-002,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,1,S,yes,-0.029261502,-5.0027976,4.973536098
text-davinci-002,A device for finding furniture in the dark is a candle.,The candle gives off light.,1,S,yes,-0.1305765,-5.3447285,5.214152
text-davinci-002,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,1,J,yes,-0.8483983,-1.0338368,0.18543849999999995
text-davinci-002,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,1,E,yes,-0.13126782,-11.66976,11.53849218
text-davinci-002,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,1,J,yes,-0.8143457,-1.1723751,0.35802940000000005
text-davinci-002,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,1,S,yes,-0.19769704,-6.8109984,6.6133013599999995
text-davinci-002,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,1,J,no,-6.9785123,-0.10205889,-6.87645341
text-davinci-002,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,1,S,no,-9.372124,-0.0442681,-9.3278559
text-davinci-002,A problem drinker is one who never buys.,One should take turns paying for the drinks.,1,J,yes,-9.023459,-0.070003025,-8.953455975
text-davinci-002,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,1,S,no,-2.0343523,-0.39575228,-1.6386000200000002
text-davinci-002,A replacement player hit a home run with my ball.,The player was playing baseball.,1,S,yes,-0.22101419,-2.2533028,2.03228861
text-davinci-002,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,1,J,yes,-0.0826962,-4.053728,3.9710318000000004
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,1,J,no,-4.2106853,-0.024626296,-4.186059004
text-davinci-002,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,1,S,yes,-0.08041632,-4.347211,4.266794679999999
text-davinci-002,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,1,S,no,-2.5691333,-0.10363704,-2.4654962599999997
text-davinci-002,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,1,J,yes,-3.1626654,-0.1742741,-2.9883913
text-davinci-002,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,1,E,no,-12.955384,-0.09541292,-12.859971080000001
text-davinci-002,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,1,J,yes,-0.48493612,-3.8657217,3.38078558
text-davinci-002,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,1,S,no,-12.56768,-0.04631621,-12.521363789999999
text-davinci-002,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,1,E,yes,-0.061577447,-9.688663,9.627085553
text-davinci-002,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,1,J,yes,-0.27782977,-5.1036434,4.82581363
text-davinci-002,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,1,S,yes,-0.12457981,-3.6642706,3.53969079
text-davinci-002,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,1,J,yes,-0.095114544,-4.952644,4.857529456
text-davinci-002,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,1,S,no,-13.612639,-0.025411308,-13.587227691999999
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,1,S,yes,-0.03703544,-10.903124,10.86608856
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,1,J,no,-11.017411,-0.09911498,-10.91829602
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,1,J,no,-0.17585385,-2.293324,2.11747015
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,1,S,no,-10.891411,-0.1214988,-10.7699122
text-davinci-002,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,1,E,yes,-0.11853927,-5.284459,5.16591973
text-davinci-002,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,1,E,no,-11.970384,-0.024748728,-11.945635271999999
text-davinci-002,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,1,E,yes,-0.0338284,-9.139983,9.1061546
text-davinci-002,Bill jumped in the lake and made a big splash.,Bill went for a swim.,1,E,yes,-1.1278856,-0.87900335,-0.24888224999999997
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,1,J,no,-9.922472,-0.08969321,-9.83277879
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,1,S,no,-12.098043,-0.044961024,-12.053081976000001
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,1,J,yes,-5.2022533,-0.044963207,-5.157290092999999
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,1,S,yes,-1.6761512,-0.67051184,-1.00563936
text-davinci-002,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,1,J,yes,-0.17554604,-2.44579,2.27024396
text-davinci-002,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,1,S,yes,-0.3333114,-2.871508,2.5381966
text-davinci-002,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,1,J,no,-15.86996,-0.117868625,-15.752091375000001
text-davinci-002,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,1,S,no,-15.084662,-0.035600778,-15.049061222
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,1,J,yes,-1.2882402,-1.0617095,-0.22653069999999986
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,1,S,yes,-0.18455587,-1.8460779,1.66152203
text-davinci-002,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,1,E,yes,-0.023845201,-9.646285,9.622439799
text-davinci-002,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,1,E,yes,-0.13321736,-9.1412735,9.00805614
