model,sentence,answer,condition,best_response,best_response_lp,entropy,is_joke
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes hours.,Committees are very efficient.,J,1,-1.2177734,1.23408834729761,True
mistralai/Mixtral-8x7B-v0.1,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,1,-1.2285156,1.3188620112062233,False
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,1,-1.2128906,1.237056502354151,False
mistralai/Mixtral-8x7B-v0.1,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,1,-1.1298828,1.150244975999125,True
mistralai/Mixtral-8x7B-v0.1,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,1,-1.1787109,1.290766646384248,False
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,1,-0.9243164,1.0546066416600526,True
mistralai/Mixtral-8x7B-v0.1,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,1,-1.0654297,1.2065366477096717,False
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,1,-1.1787109,1.1859590074009991,True
mistralai/Mixtral-8x7B-v0.1,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,1,-1.1640625,1.2076810592140625,False
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,1,-1.0585938,1.0957589385884587,True
mistralai/Mixtral-8x7B-v0.1,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,1,-1.1806641,1.184496452859741,False
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my ball.,The player was playing baseball.,S,1,-1.2802734,1.3064294597112698,False
mistralai/Mixtral-8x7B-v0.1,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,1,-1.1669922,1.2694285353178274,True
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,1,-1.2255859,1.3184185350704007,True
mistralai/Mixtral-8x7B-v0.1,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,1,-1.2431641,1.3656878703454236,False
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,1,-1.1660156,1.1862788729361031,False
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,1,-1.0898438,1.2581756936629107,True
mistralai/Mixtral-8x7B-v0.1,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,1,-1.1484375,1.2640115271919081,False
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,1,-1.1064453,1.1980409887930012,True
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,1,-1.1035156,1.185884281471026,False
mistralai/Mixtral-8x7B-v0.1,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,1,-0.9223633,1.1620773974311764,False
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,1,-1.1484375,1.16615998131605,True
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,1,-1.2041016,1.2295316772435962,False
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,1,-1.234375,1.2750257793214177,True
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,1,-1.1611328,1.2714892634632693,False
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,1,-1.0380859,1.2473962638465095,False
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,1,-1.0087891,1.143377374514035,True
mistralai/Mixtral-8x7B-v0.1,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,1,-1.2197266,1.2509312148158946,True
