model,sentence,answer,condition,best_response,best_response_lp,entropy,is_joke
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes hours.,Committees are very efficient.,J,1,-1.2363281,1.4778647328360108,True
meta-llama/Meta-Llama-3-8B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,1,-1.3876953,1.5007928034270095,False
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,1,-0.9604492,1.326211738867237,False
meta-llama/Meta-Llama-3-8B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,1,-1.1855469,1.4920270570565959,True
meta-llama/Meta-Llama-3-8B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,1,-1.375,1.4882759473181713,False
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,1,-1.3007812,1.499710741325077,True
meta-llama/Meta-Llama-3-8B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,1,-1.1181641,1.4352943846136252,False
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,1,-0.9042969,1.1922871698987154,True
meta-llama/Meta-Llama-3-8B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,1,-0.9169922,1.209436624265231,False
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,1,-1.1064453,1.435178641556732,True
meta-llama/Meta-Llama-3-8B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,1,-1.1220703,1.4121226843178423,False
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my ball.,The player was playing baseball.,S,1,-1.3837891,1.4122688203213716,False
meta-llama/Meta-Llama-3-8B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,1,-1.4482422,1.4422307924753766,True
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,1,-1.1816406,1.3459090887874878,True
meta-llama/Meta-Llama-3-8B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,1,-1.1953125,1.3545025303526286,False
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,1,-1.1542969,1.4597166832831932,False
meta-llama/Meta-Llama-3-8B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,1,-1.3662109,1.4833834560848151,True
meta-llama/Meta-Llama-3-8B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,1,-1.2900391,1.4520371522108488,False
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,1,-1.4960938,1.4592258062300505,True
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,1,-1.3300781,1.4035247558051323,False
meta-llama/Meta-Llama-3-8B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,1,-1.2714844,1.4271481757916087,False
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,1,-1.4873047,1.4784260471403896,True
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,1,-1.5087891,1.4691507836290192,False
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,3,-1.5458984,1.5061578069769195,True
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,1,-1.4833984,1.5239246618323068,False
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,1,-1.3564453,1.4162261399259624,False
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,1,-1.3105469,1.4158343149603563,True
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,1,-1.3730469,1.3479354742871061,True
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,1,-1.4335938,1.3783121826088758,False
meta-llama/Meta-Llama-3-8B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,1,-1.2763672,1.4453756792713572,False
meta-llama/Meta-Llama-3-8B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,1,-1.1894531,1.4015485946347006,False
meta-llama/Meta-Llama-3-8B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,1,-1.4238281,1.48658017728587,False
meta-llama/Meta-Llama-3-8B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,E,1,-1.1279297,1.3515127167265681,False
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,J,1,-1.0849609,1.3618760122399183,True
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,S,1,-1.1767578,1.4158765531532116,False
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,J,1,-0.9658203,1.2427621901857364,True
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,S,1,-0.87402344,1.1292091769645303,False
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,J,1,-1.3017578,1.4947310470145163,True
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,S,1,-1.4482422,1.5189886323819919,False
