model,sentence,answer,condition,best_response,best_response_lp,entropy,is_joke
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes hours.,Committees are very efficient.,J,1,-0.8300781,1.286352457553839,True
meta-llama/Meta-Llama-3-70B,A committee keeps minutes and takes votes.,Committees keep records and make decisions.,S,1,-0.9038086,1.2813196484151452,False
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a candle.,The candle gives off light.,S,1,-1.0917969,1.4224789903324604,False
meta-llama/Meta-Llama-3-70B,A device for finding furniture in the dark is a shin.,People run into furniture when it's dark.,J,1,-0.75341797,1.2460839387470795,True
meta-llama/Meta-Llama-3-70B,A good source of vitamin A is orange vegetables like carrots.,Carrots contain vitamin A.,E,1,-0.9560547,1.3560269335653243,False
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke gunpowder.,An explosion can blow your brains out.,J,1,-0.89746094,1.333851173451853,True
meta-llama/Meta-Llama-3-70B,A good way to blow your mind is to smoke heroin.,Heroin will affect your brain.,S,1,-0.81884766,1.2803600843835907,False
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a widower.,His wife wasn't very smart.,J,1,-1.0742188,1.4011258008781409,True
meta-llama/Meta-Llama-3-70B,A man who has lost ninety percent of his brain is called a zombie.,A zombie still has an intact brain.,S,1,-1.1962891,1.4342027928005134,False
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never buys.,One should take turns paying for the drinks.,J,1,-0.50927734,0.9349958808500005,True
meta-llama/Meta-Llama-3-70B,A problem drinker is one who never quits.,Non-stop drinking isn't much of a problem.,S,1,-0.85009766,1.3038783055569714,False
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my ball.,The player was playing baseball.,S,1,-1.1435547,1.4124517298397403,False
meta-llama/Meta-Llama-3-70B,A replacement player hit a home run with my girl.,Someone else slept with my girlfriend.,J,1,-1.0527344,1.3776853628530874,True
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from fishing.,She thinks her husband will catch lots of fish.,J,1,-0.91845703,1.3448085564567642,True
meta-llama/Meta-Llama-3-70B,A thoughtful wife has pork chops ready when her husband comes home from working.,A nice wife cooks dinner for her husband.,S,1,-0.9160156,1.3442386425687474,False
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,1,-1.0693359,1.3790632904739772,False
meta-llama/Meta-Llama-3-70B,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,1,-1.1171875,1.4218210473689608,True
meta-llama/Meta-Llama-3-70B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,1,-0.72314453,1.1738332522678263,False
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,1,-1.2861328,1.439397031205229,True
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,1,-1.09375,1.3892319333835101,False
meta-llama/Meta-Llama-3-70B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,1,-0.8510742,1.2712601154901542,False
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,1,-1.1826172,1.4074360951630736,True
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,1,-1.1328125,1.4214518767929378,False
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,1,-1.0488281,1.3837369387996918,True
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,1,-0.91796875,1.3398715953950555,False
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,1,-1.2949219,1.4599438209753979,False
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,1,-1.2871094,1.4775231013991712,True
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,1,-1.2470703,1.4733530873214045,True
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,1,-1.1552734,1.4561736036086337,False
meta-llama/Meta-Llama-3-70B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,1,-0.7963867,1.2476327794528934,False
meta-llama/Meta-Llama-3-70B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,1,-0.5864258,1.096478895402277,False
meta-llama/Meta-Llama-3-70B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,1,-0.8935547,1.3136470576014894,False
meta-llama/Meta-Llama-3-70B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,E,1,-0.9638672,1.332448129386247,False
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,J,1,-1.2226562,1.4669512832814788,True
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,S,1,-1.2792969,1.4727498577430043,False
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,J,1,-0.8730469,1.3291225819166403,True
